,x,y,time
257,[64272 64652 76711],[67660 55022 68319],1509232143421
258,[64273 64653 76709],[67659 55021 68319],1509232143431
259,[64273 64652 76710],[67659 55021 68318],1509232143440
260,[64275 64653 76711],[67658 55022 68319],1509232143450
261,[64272 64652 76711],[67660 55021 68319],1509232143460
262,[64273 64651 76711],[67659 55022 68318],1509232143470
263,[64272 64652 76710],[67659 55021 68318],1509232143480
264,[64272 64651 76710],[67660 55021 68318],1509232143490
265,[64273 64652 76711],[67660 55021 68319],1509232143500
266,[64273 64652 76710],[67660 55021 68318],1509232143510
267,[64274 64652 76710],[67660 55021 68318],1509232143520
268,[64273 64653 76710],[67660 55021 68318],1509232143530
269,[64271 64651 76710],[67660 55022 68319],1509232143540
270,[64268 64652 76711],[67659 55021 68319],1509232143550
271,[64274 64652 76710],[67660 55021 68318],1509232143560
272,[64272 64651 76711],[67660 55021 68319],1509232143570
273,[64272 64653 76711],[67659 55021 68319],1509232143580
274,[64274 64651 76710],[67659 55021 68318],1509232143590
275,[64273 64652 76711],[67659 55021 68319],1509232143600
276,[64272 64651 76710],[67659 55022 68318],1509232143610
277,[64273 64652 76711],[67660 55021 68318],1509232143621
278,[64273 64653 76711],[67659 55021 68319],1509232143630
279,[64273 64653 76710],[67660 55021 68319],1509232143640
280,[64273 64652 76710],[67659 55021 68319],1509232143650
281,[64271 64653 76710],[67660 55022 68318],1509232143661
282,[64273 64652 76710],[67660 55021 68318],1509232143670
283,[64274 64652 76711],[67660 55022 68319],1509232143682
284,[64271 64651 76710],[67659 55021 68318],1509232143690
285,[64272 64652 76711],[67659 55021 68318],1509232143701
286,[64272 64652 76710],[67659 55021 68319],1509232143710
287,[64274 64653 76710],[67660 55021 68318],1509232143720
288,[64272 64652 76710],[67660 55021 68318],1509232143730
289,[64273 64652 76711],[67659 55022 68319],1509232143740
290,[64274 64652 76711],[67659 55021 68319],1509232143750
291,[64272 64652 76709],[67659 55021 68318],1509232143760
292,[64273 64651 76711],[67659 55022 68318],1509232143770
293,[64272 64652 76710],[67659 55021 68318],1509232143780
294,[64272 64652 76712],[67659 55021 68319],1509232143791
295,[64273 64652 76710],[67660 55022 68319],1509232143800
296,[64271 64652 76710],[67660 55021 68318],1509232143810
297,[64272 64652 76709],[67659 55022 68319],1509232143820
298,[64274 64652 76711],[67659 55021 68318],1509232143830
299,[64274 64653 76710],[67659 55021 68318],1509232143840
300,[64273 64652 76712],[67660 55022 68318],1509232143850
301,[64273 64653 76711],[67659 55021 68318],1509232143860
302,[64269 64652 76711],[67658 55021 68318],1509232143871
303,[64273 64652 76710],[67660 55022 68319],1509232143882
304,[64270 64652 76711],[67659 55022 68319],1509232143890
305,[64273 64652 76710],[67660 55022 68318],1509232143900
306,[64272 64652 76710],[67659 55022 68318],1509232143911
307,[64273 64653 76711],[67660 55022 68318],1509232143920
308,[64272 64652 76710],[67658 55021 68318],1509232143930
309,[64273 64652 76711],[67660 55022 68318],1509232143940
310,[64272 64653 76711],[67660 55022 68318],1509232143950
311,[64272 64652 76711],[67660 55021 68318],1509232143960
312,[64273 64651 76710],[67660 55022 68319],1509232143970
313,[64273 64651 76710],[67659 55021 68319],1509232143980
314,[64272 64652 76711],[67659 55021 68319],1509232143991
315,[64274 64651 76709],[67659 55021 68318],1509232144000
316,[64272 64652 76710],[67660 55021 68318],1509232144010
317,[64272 64651 76710],[67660 55021 68319],1509232144021
318,[64272 64653 76710],[67660 55021 68318],1509232144030
319,[64274 64652 76710],[67659 55021 68318],1509232144040
320,[64272 64652 76709],[67660 55021 68318],1509232144050
321,[64272 64653 76710],[67660 55021 68319],1509232144060
322,[64273 64652 76710],[67659 55021 68319],1509232144071
323,[64272 64651 76710],[67660 55022 68319],1509232144081
324,[64273 64653 76709],[67660 55021 68318],1509232144091
325,[64273 64652 76710],[67659 55021 68319],1509232144100
326,[64273 64652 76710],[67660 55022 68318],1509232144110
327,[64272 64652 76710],[67660 55021 68319],1509232144120
328,[64272 64651 76710],[67661 55021 68318],1509232144130
