,x,y,time
310,[63071 73395 72857 73234 82908],[43898 67502 35864 69046 44281],1509129414271
311,[63085 72852 73232 82891],[43894 35875 69048 44275],1509129414280
312,[63107 72863 73236 82896],[43888 35885 69047 44274],1509129414290
313,[63111 72864 73237 82892],[43887 35891 69050 44273],1509129414300
314,[63096 72855 73234 82880],[43892 35884 69050 44272],1509129414310
315,[63084 73385 72850 73235 82881],[43895 67511 35875 69049 44272],1509129414320
316,[63087 72859 73235 82907],[43893 35871 69046 44278],1509129414330
317,[63090 72867 73235 82914],[43893 35871 69047 44283],1509129414340
318,[63082 72861 73232 82911],[43896 35868 69048 44282],1509129414350
319,[63080 72855 73234 82904],[43896 35867 69045 44278],1509129414361
320,[63085 72858 73235 82908],[43896 35873 69049 44278],1509129414370
321,[63095 72862 73236 82906],[43892 35878 69048 44280],1509129414380
322,[63090 72859 73235 82902],[43893 35876 69048 44279],1509129414390
323,[63082 72854 73234 82892],[43896 35872 69049 44276],1509129414401
324,[63084 72858 73237 82902],[43896 35874 69054 44279],1509129414410
325,[63091 72863 73237 82911],[43893 35874 69047 44282],1509129414420
326,[63089 72862 73237 82910],[43893 35870 69046 44280],1509129414430
327,[63084 73411 72857 73236 82904],[43896 67522 35870 69048 44278],1509129414440
328,[63085 72856 73236 82895],[43896 35874 69051 44277],1509129414451
329,[63089 72860 73236 82901],[43893 35875 69048 44278],1509129414461
330,[63091 72860 73233 82907],[43894 35872 69047 44278],1509129414473
331,[63087 72857 73237 82908],[43895 35872 69046 44278],1509129414480
332,[63083 72858 73237 82908],[43894 35872 69048 44278],1509129414490
333,[63089 72861 73234 82911],[43893 35871 69049 44278],1509129414500
334,[63088 72861 73234 82908],[43893 35870 69049 44279],1509129414510
335,[63088 73392 72859 73238 82905],[43893 67497 35872 69049 44277],1509129414520
336,[63085 72857 73235 82906],[43895 35874 69052 44277],1509129414530
337,[63089 72859 73234 82900],[43894 35874 69050 44277],1509129414540
338,[63090 73417 72860 73238 82906],[43893 67523 35873 69048 44279],1509129414550
339,[63089 72858 73237 82906],[43893 35873 69052 44277],1509129414560
340,[63085 72859 73236 82905],[43895 35873 69047 44279],1509129414570
341,[63087 72860 73237 82902],[43896 35872 69048 44279],1509129414580
342,[63087 72860 73233 82906],[43895 35871 69050 44282],1509129414590
343,[63087 72859 73233 82908],[43894 35872 69050 44280],1509129414600
344,[63087 72859 73236 82905],[43895 35873 69048 44279],1509129414610
345,[63087 73392 72858 73237 82902],[43894 67499 35873 69050 44278],1509129414620
346,[63086 73394 72859 73234 82907],[43895 67509 35873 69049 44278],1509129414631
347,[63086 72860 73237 82907],[43894 35873 69049 44279],1509129414640
348,[63086 72858 73235 82907],[43895 35872 69049 44278],1509129414652
349,[63085 72859 73234 82907],[43894 35871 69048 44279],1509129414660
350,[63087 72860 73237 82908],[43895 35872 69050 44280],1509129414671
351,[63088 73394 72860 73233 82910],[43894 67505 35872 69044 44278],1509129414681
352,[63087 72859 73235 82902],[43894 35873 69047 44278],1509129414690
353,[63087 72857 73233 82902],[43893 35872 69048 44277],1509129414700
354,[63086 72859 73237 82905],[43894 35873 69048 44278],1509129414710
355,[63088 73390 72859 73236 82904],[43894 67506 35872 69048 44280],1509129414720
356,[63086 72858 73234 82905],[43894 35871 69050 44279],1509129414730
