,x,y,time
269,[66112 75693 76791 86160],[42598 34731 68619 42884],1509232339817
270,[66113 75692 76792 86160],[42598 34731 68620 42884],1509232339827
271,[66114 75693 76790 86159],[42599 34730 68620 42885],1509232339837
272,[66115 75691 76789 86159],[42596 34731 68619 42883],1509232339847
273,[66115 75692 76792 86158],[42598 34732 68619 42883],1509232339857
274,[66114 75692 76791 86158],[42598 34733 68619 42883],1509232339867
275,[66113 75692 76790 86158],[42599 34732 68620 42883],1509232339877
276,[66112 75693 76790 86160],[42598 34731 68620 42885],1509232339887
277,[66113 75693 76790 86161],[42598 34730 68620 42886],1509232339897
278,[66118 75691 76788 86159],[42593 34731 68618 42882],1509232339907
279,[66115 75693 76791 86159],[42598 34733 68620 42885],1509232339917
280,[66113 75692 76790 86156],[42600 34734 68621 42883],1509232339927
281,[66113 75691 76791 86155],[42599 34733 68620 42882],1509232339937
282,[66112 75692 76793 86158],[42601 34731 68621 42883],1509232339947
283,[66111 75692 76791 86160],[42600 34728 68619 42885],1509232339957
284,[66110 75693 76790 86164],[42599 34728 68620 42886],1509232339967
285,[66111 75693 76789 86163],[42599 34729 68619 42886],1509232339977
286,[66113 75693 76788 86158],[42599 34730 68621 42884],1509232339987
287,[66111 75691 76790 86159],[42599 34731 68619 42884],1509232339997
288,[66110 75692 76790 86159],[42600 34730 68621 42885],1509232340007
289,[66112 75692 76789 86159],[42600 34731 68620 42885],1509232340017
290,[66112 75691 76789 86160],[42598 34731 68620 42885],1509232340027
291,[66112 75692 76790 86160],[42598 34730 68619 42885],1509232340037
292,[66113 75692 76790 86159],[42599 34730 68620 42885],1509232340047
293,[65831 75669 76803 86475],[42836 34653 68705 43210],1509232340057
294,[65627 75723 76783 86784],[42870 34282 68673 43350],1509232340067
295,[65255 75738 76770 87202],[43012 33768 68661 43604],1509232340077
296,[64824 75753 76756 87621],[43194 33103 68645 43893],1509232340087
297,[64430 75766 76740 88014],[43366 32253 68635 44170],1509232340097
298,[64122 75829 76729 88326],[43500 31277 68628 44397],1509232340107
299,[63918 75861 76721 88519],[43586 30257 68620 44541],1509232340117
300,[63809 75885 76709 88586],[43635 29194 68613 44603],1509232340127
301,[63801 75905 76710 88565],[43635 28052 68607 44584],1509232340137
302,[63894 75967 76714 88454],[43580 26840 68609 44488],1509232340147
303,[64097 76015 76724 88260],[43479 25611 68612 44331],1509232340157
304,[64391 76066 76734 87973],[43343 24391 68619 44110],1509232340167
305,[64773 76088 76752 87592],[43178 23138 68626 43839],1509232340177
306,[65276 76124 76771 87114],[42964 21809 68644 43509],1509232340187
307,[65948 76169 76798 86531],[42691 20408 68658 43116],1509232340197
308,[66781 76245 76822 85814],[42364 18982 68663 42672],1509232340207
309,[67785 76281 76843 84946],[42009 17567 68663 42189],1509232340217
310,[68915 76322 76866 83967],[41634 16182 68630 41654],1509232340227
311,[69817 76410 76744 83177],[41054 14940 68300 40995],1509232340237
312,[69502 76377 76502 83430],[39745 67011 13898 39846],1509232340247
