,x,y,time
316,[66175 75738 76683 86223],[42554 34672 68622 42930],1509232255701
317,[66174 75737 76686 86224],[42554 34673 68620 42930],1509232255711
318,[66174 75739 76685 86223],[42555 34674 68621 42931],1509232255721
319,[66175 75741 76688 86225],[42554 34673 68619 42930],1509232255731
320,[66175 75738 76684 86226],[42555 34673 68621 42930],1509232255741
321,[66176 75738 76686 86225],[42554 34674 68619 42930],1509232255751
322,[66174 75736 76686 86223],[42555 34674 68620 42930],1509232255761
323,[66173 75736 76684 86222],[42555 34672 68621 42930],1509232255772
324,[66177 75738 76688 86225],[42555 34673 68619 42930],1509232255786
325,[66174 75738 76688 86225],[42554 34673 68619 42931],1509232255791
326,[66175 75737 76684 86224],[42556 34673 68621 42930],1509232255801
327,[66174 75736 76685 86223],[42555 34672 68620 42930],1509232255811
328,[66175 75740 76688 86225],[42554 34673 68619 42931],1509232255821
329,[66174 75738 76684 86224],[42554 34673 68622 42930],1509232255832
330,[66174 75737 76685 86224],[42555 34673 68620 42930],1509232255841
331,[66174 75736 76685 86222],[42555 34673 68620 42929],1509232255851
332,[66174 75739 76687 86224],[42555 34673 68620 42931],1509232255861
333,[66175 75741 76684 86226],[42555 34673 68621 42930],1509232255871
334,[66175 75739 76688 86225],[42555 34672 68619 42930],1509232255881
335,[66173 75736 76683 86224],[42555 34672 68621 42930],1509232255891
336,[66174 75737 76684 86223],[42554 34673 68621 42930],1509232255901
337,[66175 75738 76685 86224],[42555 34673 68622 42931],1509232255912
338,[66174 75739 76687 86223],[42555 34674 68620 42930],1509232255921
339,[66174 75738 76687 86224],[42555 34672 68620 42930],1509232255934
340,[66175 75738 76684 86225],[42554 34672 68622 42931],1509232255941
341,[66174 75738 76685 86226],[42555 34673 68621 42931],1509232255951
342,[66175 75738 76684 86224],[42554 34673 68621 42931],1509232255961
343,[66175 75737 76688 86223],[42555 34673 68619 42931],1509232255971
344,[66175 75738 76686 86222],[42554 34673 68619 42930],1509232255981
345,[66174 75738 76685 86223],[42555 34673 68621 42930],1509232255991
346,[66175 75737 76684 86224],[42555 34673 68621 42930],1509232256001
347,[66174 75738 76686 86225],[42556 34673 68620 42929],1509232256011
348,[66173 75737 76687 86223],[42555 34673 68620 42930],1509232256021
349,[66173 75738 76684 86225],[42555 34673 68621 42930],1509232256032
350,[66174 75740 76684 86224],[42555 34672 68621 42930],1509232256043
351,[66174 75739 76684 86224],[42554 34673 68622 42930],1509232256052
352,[66174 75739 76686 86224],[42555 34674 68620 42931],1509232256061
353,[66175 75737 76686 86223],[42554 34673 68620 42930],1509232256071
354,[66174 75738 76686 86224],[42555 34673 68620 42930],1509232256082
355,[66175 75737 76684 86223],[42555 34673 68620 42930],1509232256091
356,[66174 75736 76685 86222],[42555 34673 68621 42930],1509232256101
357,[66174 75738 76683 86225],[42554 34673 68622 42930],1509232256111
358,[66176 75739 76685 86225],[42554 34672 68621 42930],1509232256121
359,[66175 75738 76683 86224],[42554 34672 68621 42930],1509232256131
360,[66175 75737 76685 86224],[42555 34673 68621 42929],1509232256141
361,[66174 75739 76685 86222],[42555 34674 68621 42929],1509232256151
362,[66176 75739 76686 86224],[42554 34674 68621 42930],1509232256161
363,[66175 75738 76684 86224],[42555 34672 68620 42930],1509232256171
364,[66174 75738 76684 86224],[42555 34673 68621 42930],1509232256181
365,[66173 75739 76688 86223],[42554 34674 68619 42929],1509232256191
366,[66162 75735 76674 86278],[42572 34671 68636 43001],1509232256201
367,[65942 75732 76674 86592],[42712 34472 68674 43233],1509232256211
368,[65554 75785 76674 87033],[42881 34049 68680 43512],1509232256221
369,[65142 75797 76653 87428],[43035 33480 68655 43772],1509232256231
370,[64710 75798 76639 87826],[43214 32740 68642 44058],1509232256241
371,[64353 75819 76624 88196],[43361 31828 68630 44318],1509232256251
372,[64079 75894 76613 88454],[43474 30827 68621 44508],1509232256261
373,[63914 75916 76604 88589],[43550 29790 68612 44623],1509232256271
374,[63833 75944 76603 88617],[43585 28692 68605 44654],1509232256281
375,[63862 75977 76601 88557],[43567 27510 68606 44601],1509232256291
376,[63994 76049 76612 88404],[43494 26271 68607 44474],1509232256301
377,[64228 76075 76617 88164],[43383 25031 68613 44283],1509232256311
378,[64562 76120 76631 87826],[43235 23792 68621 44033],1509232256322
379,[64997 76137 76648 87399],[43051 22503 68633 43731],1509232256331
380,[65575 76189 76670 86867],[42813 21131 68652 43373],1509232256341
381,[66315 76242 76699 86221],[42519 19698 68661 42946],1509232256351
382,[67224 76301 76722 85431],[42184 18264 68664 42471],1509232256361
383,[68301 76321 76744 84482],[41809 16844 68647 41953],1509232256371
384,[69435 76377 76763 83470],[41451 15498 68560 41384],1509232256381
385,[69819 76442 76590 83145],[40514 14336 67774 40473],1509232256391
386,[68980 76276 76539 83904],[38880 66004 13374 39072],1509232256401
387,[68047 75749 76609 84643],[37090 64154 12552 37732],1509232256411
388,[67964 75125 76637 84413],[36257 63469 11789 37160],1509232256421
389,[68756 74689 76626 83364],[36338 63854 11087 37144],1509232256431
390,[69382 74732 76554 82621],[36453 64036 10533 36971],1509232256441
391,[68973 75220 76418 83195],[35861 63239 10187 36238],1509232256451
392,[67166 76099 76411 85409],[34024 60605 10114 34385],1509232256461
393,[65289 76445 77118 87847],[30969 10254 56344 31166],1509232256471
394,[64433 76537 77932 89099],[27334 10491 51878 27172],1509232256482
395,[64921 76611 78390 88840],[23954 10788 48509 23320],1509232256491
396,[65986 76638 78573 87714],[21755 11128 46758 20757],1509232256501
397,[66473 76570 78496 86928],[21200 11516 46428 20046],1509232256511
398,[66294 76424 78209 86937],[21739 11982 46960 20687],1509232256521
399,[65925 76375 77817 87331],[22675 12527 47904 22021],1509232256531
400,[65656 76330 77423 87783],[23755 13202 49075 23609],1509232256541
401,[65490 76363 77111 88118],[24896 14006 50308 25188],1509232256551
402,[65383 76366 76920 88308],[26023 14903 51487 26604],1509232256562
403,[65307 76362 76849 88395],[27119 15884 52603 27841],1509232256571
404,[65292 76353 76859 88398],[28218 16996 53701 28943],1509232256581
405,[65295 76340 76902 88361],[29362 18244 54841 30046],1509232256591
406,[65262 76328 76945 88309],[30608 19617 56075 31256],1509232256601
407,[65252 76302 76981 88259],[32000 21093 57467 32602],1509232256611
408,[65214 76261 77018 88206],[33545 22677 59008 34118],1509232256621
409,[65135 76184 77009 88114],[35244 24378 60659 35773],1509232256631
410,[65026 76101 76942 88007],[37022 26205 62407 37565],1509232256643
411,[64927 75999 76845 87903],[38884 28149 64255 39467],1509232256651
